"Source:","C:\Users\Florian\Documents\dev\stomp\fuzz_factory_mod\cad\fuzz_factory_mod\fuzz_factory_mod.sch"
"Date:","13/06/2020 12:42:10"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","376"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Supplier reference"
"","","C201","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C202","10n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C203","4u7","Device:C","Capacitors_SMD:C_1206","~",""
"","","C204","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C205","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C206","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C207","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C208","10n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C209","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C210","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C211","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C212","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C301","10n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C302","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C303","4u7","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C304","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C305","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C306","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C401","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C402","47p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C501","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C601","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C602","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C603","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C604","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C605","10u","Device:CP","Capacitors_SMD:CP_Elec_6.3x4.5","~",""
"","","C606","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C607","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C608","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C609","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C701","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C702","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C801","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C802","100p","Device:C","Capacitors_SMD:C_0603","~",""
"","","C803","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C907","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1101","1u","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1102","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1103","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1104","100n","Device:C","Capacitors_SMD:C_0603","~",""
"","","C1105","220n","Device:C","Capacitors_SMD:C_0805","~",""
"","","C1106","100n","Device:C","Capacitors_SMD:C_0603","~",""
